idblk,xpos,ypos
34,1.36489,-0.18804
95,1.19318,-0.40592
217,0.93563,-0.57925
283,0.84977,0.20317
308,0.80685,0.3047
315,0.76392,-0.43317
348,0.721,-0.04196
363,0.67807,-0.43467
405,0.63514,0.21735
440,0.59222,0.56401
487,0.50637,0.26027
609,0.29174,-0.30427
783,0.03418,0.21735
793,-0.00875,-0.52215
813,-0.00875,0.34775
875,-0.13752,-0.47922
928,-0.22338,-0.52215
964,-0.2663,-0.13094
965,-0.2663,-0.08801
984,-0.30923,-0.43467
985,-0.30923,-0.39174
1013,-0.35215,-0.34882
1074,-0.43801,-0.04346
1080,-0.43801,0.21735
1094,-0.48093,-0.34882
1121,-0.52386,-0.34882
1172,-0.60971,-0.47922
1205,-0.65264,-0.21842
1220,-0.65264,0.4336
1276,-0.73849,0.52108
1342,-0.86727,-0.13094
1359,-0.91019,-0.43467
1386,-0.95312,-0.30427
1421,-0.99605,0.1157
1434,-1.03897,-0.36137
1457,-1.0819,-0.40592
1550,-1.2536,-0.14511
1568,-1.29653,-0.27551
1627,-1.4253,-0.27404
